Taxpayer Number	Taxpayer Name	Taxpayer Address	Taxpayer City	Taxpayer State	Taxpayer Zip	Taxpayer County	Location Number	Location Name	Location Address	Location City	Location State	Location Zip	Location County	Inside/Outside City Limits	TABC Permit Number	Responsibility Begin Date	Responsibility End Date	Obligation End Date	Liquor Receipts	Wine Receipts	Beer Receipts	Cover Charge Receipts	Total Receipts
32060335620	ICLUB HOUSTON INC	8320 SOUTHWEST FWY	HOUSTON	TX	77074	101	1	EL PARRAL WEST	8320 SOUTHWEST FWY	HOUSTON	TX	77074	101	Y	MB200087550	3/14/2023		2/28/2019	17006	0	8824	0	25830
32048633252	GSM WINGS III, LLC	12660 S KIRKWOOD RD	STAFFORD	TX	77477	79	6	BREWINGZ	13516 EAST FWY	HOUSTON	TX	77015	101	Y	MB842365	6/5/2013		2/28/2019	6535	36	16570	0	23141
17418974006	MOLINA'S MEXICO CITY RESTAURANTS, INC.	PO BOX 631368	HOUSTON	TX	77263	101	8	MOLINA'S MEXICAN RESTAURANT	7901 WESTHEIMER RD	HOUSTON	TX	77063	101	Y	MB204275	12/1/1995		6/30/2019	68527	4615	9677	0	82819
17604846489	FIRST CLASS EVENTS, INCORPORATED	3408 DELANO ST	HOUSTON	TX	77004	101	2	THE WUNDERBAR	2305 ALABAMA ST	HOUSTON	TX	77004	101	Y	MB750740	6/21/2010	5/1/2022	10/31/2019	0	0	0	0	0
32062485571	AHTRST CONCESSIONS, LLC	5301 HEADQUARTERS DR	PLANO	TX	75024	43	14	COURTYARD HOUSTON NORTH	16500 HEDGECROFT DR	HOUSTON	TX	77060	101	Y	MB1008561	2/28/2018	10/17/2019	6/30/2019	0	0	0	0	0
32058380380	ALESH CORPORATION	6802 REGAL LAKES DR	KATY	TX	77493	101	1	CENTENARIO POOL & BAR	9890 SOUTHWEST FWY	HOUSTON	TX	77074	101	Y	MB939774	4/4/2016	2/8/2021	2/28/2019	2900	0	9250	0	12150
32044329418	OUR HOTELS, LLC	1785 STATE HIGHWAY 26 STE 400	GRAPEVINE	TX	76051	220	17	AC HOTEL BY MARRIOTT HOUSTON	723 MAIN ST	HOUSTON	TX	77002	101	Y	MB1057367	6/17/2019	6/17/2023	6/30/2019	0	0	0	0	0
32052869248	KLH 909 LP	222 LAS COLINAS BLVD W STE 2250N	IRVING	TX	75039	57	1	KLH 909 LP	909 TEXAS ST STE 2A	HOUSTON	TX	77002	101	Y	MB883723	9/10/2014		8/31/2019	29147	6920	10017	0	46084
32051543133	ROCKET FARM RESTAURANTS, LLC	1175 CHATTAHOOCHEE AVE NW	ATLANTA	GA	30318	0	2	STATE OF GRACE	3256 WESTHEIMER RD	HOUSTON	TX	77098	101	Y	MB877330	8/1/2015		1/31/2019	58226	106160	6034	0	170420
32048633237	GSM WINGS V, LLC	12660 S KIRKWOOD RD	STAFFORD	TX	77477	79	6	BREWINGZ	8490 S SAM HOUSTON PKWY E	HOUSTON	TX	77075	101	Y	MB842602	6/6/2013		2/28/2019	6536	188	15651	0	22375
32041161582	LOS CUCOS MEXICAN CAFE XXVI, INC.	876 LOOP 337 STE 501	NEW BRAUNFELS	TX	78130	46	1	LOS CUCOS MEXICAN CAFE	10690 NORTHWEST FWY	HOUSTON	TX	77092	101	Y	MB445151	1/11/2011		4/30/2019	25681	1371	8618	0	35670
17524461674	OUTBACK BEVERAGES OF TEXAS, LLC	2202 N WEST SHORE BLVD STE 500	TAMPA	FL	33607	0	31	OUTBACK STEAKHOUSE	5710 FM 1960 RD W	HOUSTON	TX	77069	101	Y	MB244055	1/1/2008	4/1/2024	1/31/2019	0	0	0	0	0
17417066358	HRC-RC, INC.	10709 MEMORIAL DR	HOUSTON	TX	77024	101	1	HOUSTON RACQUET CLUB	10709 MEMORIAL DR	HOUSTON	TX	77024	101	Y	MB066254	9/1/2011		2/28/2019	31976	68234	6095	0	106305
